Version,File Name,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,MAX_ChgSet,AVG_ChgSet,Buggy
3.0.0,src/java/test/org/apache/zookeeper/server/DataTreeUnitTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/test/org/apache/zookeeper/test/QuorumTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/ServerStats.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/main/org/apache/zookeeper/ClientWatchManager.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/jute/compiler/JInt.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/AsyncCallback.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/jute/compiler/generated/Rcc.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/Leader.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/persistence/FileSnap.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableQuorumPeer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/server/ObservableDataTree.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,1.0,1.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,11.0,yes
3.0.0,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/main/org/apache/jute/InputArchive.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/jute/OutputArchive.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/ZooKeeper.java,2.0,1.0,13.0,8.0,6.5,10.0,7.0,5.0,7.0,8.5,yes
3.0.0,src/java/main/org/apache/zookeeper/Environment.java,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.0,no
3.0.0,src/java/test/org/apache/zookeeper/test/StatTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/jute/compiler/JVector.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/test/org/apache/zookeeper/test/WatchedEventTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/server/util/ObservableComponent.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumStats.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
