Version,File Name,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieThrottleTest.java,1.0,1.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,3.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,1.0,1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,37.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,2.0,1.0,21.0,11.0,10.5,12.0,10.0,6.0,2.0,23.5,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java,3.0,2.0,407.0,397.0,135.66667,400.0,397.0,133.33333,397.0,16.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,8.0,2.0,128.0,92.0,16.0,-505.0,21.0,-63.125,1.0,9.75,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,6.0,3.0,30.0,19.0,5.0,-43.0,2.0,-7.1666665,0.0,14.333333,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,5.0,3.0,534.0,425.0,106.8,451.0,425.0,90.2,425.0,6.8,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java,1.0,1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,27.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,3.0,2.0,61.0,30.0,20.333334,60.0,30.0,20.0,22.0,6.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,4.0,2.0,211.0,183.0,52.75,187.0,183.0,46.75,183.0,9.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/IndexCorruptionTest.java,2.0,1.0,169.0,166.0,84.5,166.0,166.0,83.0,166.0,9.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestDeadlock.java,1.0,1.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,8.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,7.0,3.0,842.0,712.0,120.28571,788.0,712.0,112.57143,712.0,8.714286,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,1.0,1.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,14.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,2.0,2.0,63.0,58.0,31.5,58.0,53.0,29.0,53.0,23.0,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,2.0,2.0,5.0,4.0,2.5,4.0,4.0,2.0,0.0,15.5,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,1.0,1.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,14.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,2.0,1.0,26.0,25.0,13.0,-7.0,0.0,-3.5,0.0,16.0,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,1.0,1.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,2.0,1.0,62.0,50.0,31.0,54.0,42.0,27.0,42.0,32.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,4.0,1.0,9.0,5.0,2.25,-4.0,0.0,-1.0,-1.0,12.25,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/ClientUtil.java,1.0,1.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,6.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,2.0,1.0,74.0,69.0,37.0,66.0,69.0,33.0,69.0,8.5,
4.0.0,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,17.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,10.0,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,2.0,1.0,131.0,126.0,65.5,127.0,126.0,63.5,126.0,11.5,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,37.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,2.0,1.0,202.0,195.0,101.0,196.0,195.0,98.0,195.0,14.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
